K,Nft_mean,Nft_std,Nnear_mean,Nmid_mean,Ceff_mean,Ceff_std
5,9.6,0.7118052168020874,1.6666666666666667,7.933333333333334,12166.52752377579,8434.013632175527
10,43.03333333333333,1.760366123534786,7.8,35.233333333333334,45631.72750701667,12618.646635905867
15,100.36666666666666,3.361381990921128,18.433333333333334,81.93333333333334,108836.54264978078,24877.8999709242
20,181.2,5.576139644353728,30.966666666666665,150.23333333333332,198495.35181564323,30113.537849145796
25,285.4,8.224354077980836,50.43333333333333,234.96666666666667,300628.8843329469,49677.85919964968
30,413.5,8.269421583964222,68.9,344.6,446618.8027140008,56351.745053776285
35,569.4666666666667,11.19742033783774,101.63333333333334,467.8333333333333,582754.9018617438,73535.87905753918
40,748.2,11.461239025515521,133.36666666666667,614.8333333333334,743706.3630930459,73565.93564771106
45,941.8,17.898603297464298,160.43333333333334,781.3666666666667,997026.2794284594,120445.9582382816
50,1174.4333333333334,18.212968517576215,204.03333333333333,970.4,1218686.717213028,123511.76149300112
55,1419.5666666666666,19.40907576939773,243.36666666666667,1176.2,1473513.1918322362,128439.59817142753
60,1690.3666666666666,24.472410769862638,291.96666666666664,1398.4,1741507.1402219865,171511.21108359733
65,1982.6333333333334,23.057151216536315,333.03333333333336,1649.6,2108929.901329411,149188.1842288478
70,2291.766666666667,24.535258076671802,384.3333333333333,1907.4333333333334,2461625.662410766,205271.13535688326
75,2635.633333333333,32.64708596830997,447.96666666666664,2187.6666666666665,2799031.2802896565,224068.196348144
80,3012.3333333333335,30.660869017183593,505.46666666666664,2506.866666666667,3188311.1609866186,181648.18440074136
85,3388.7,43.521757011101165,569.7333333333333,2818.9666666666667,3663846.8622852056,278248.1060665141
90,3810.2,43.626750203669,654.0,3156.2,4061793.8169853566,247302.43253117622
95,4256.566666666667,42.45678849005055,731.7666666666667,3524.8,4490172.501768266,302492.7178552692
100,4706.066666666667,47.50925056122112,792.7666666666667,3913.3,4945249.433510879,290387.4747040055
