K,cost_naive_s
2.0,8.0
3.0,24.0
4.0,48.0
5.0,80.0
6.0,120.0
7.0,168.0
8.0,224.0
9.0,288.0
10.0,360.0
11.0,440.0
12.0,528.0
13.0,624.0
14.0,728.0
15.0,840.0
16.0,960.0
17.0,1088.0
18.0,1224.0
19.0,1368.0
20.0,1520.0
21.0,1680.0
22.0,1848.0
23.0,2024.0
24.0,2208.0
25.0,2400.0
26.0,2600.0
27.0,2808.0
28.0,3024.0
29.0,3248.0
30.0,3480.0
31.0,3720.0
32.0,3968.0
33.0,4224.0
34.0,4488.0
35.0,4760.0
36.0,5040.0
37.0,5328.0
38.0,5624.0
39.0,5928.0
40.0,6240.0
41.0,6560.0
42.0,6888.0
43.0,7224.0
44.0,7568.0
45.0,7920.0
46.0,8280.0
47.0,8648.0
48.0,9024.0
49.0,9408.0
50.0,9800.0
51.0,10200.0
52.0,10608.0
53.0,11024.0
54.0,11448.0
55.0,11880.0
56.0,12320.0
57.0,12768.0
58.0,13224.0
59.0,13688.0
60.0,14160.0
61.0,14640.0
62.0,15128.0
63.0,15624.0
64.0,16128.0
65.0,16640.0
66.0,17160.0
67.0,17688.0
68.0,18224.0
69.0,18768.0
70.0,19320.0
71.0,19880.0
72.0,20448.0
73.0,21024.0
74.0,21608.0
75.0,22200.0
76.0,22800.0
77.0,23408.0
78.0,24024.0
79.0,24648.0
80.0,25280.0
81.0,25920.0
82.0,26568.0
83.0,27224.0
84.0,27888.0
85.0,28560.0
86.0,29240.0
87.0,29928.0
88.0,30624.0
89.0,31328.0
90.0,32040.0
91.0,32760.0
92.0,33488.0
93.0,34224.0
94.0,34968.0
95.0,35720.0
96.0,36480.0
97.0,37248.0
98.0,38024.0
99.0,38808.0
100.0,39600.0

K,cost_effective_s
5,76.33614070637891
10,342.206585686173
15,798.142719284087
20,1440.815908250629
25,2269.461579156575
30,3287.8513555569125
35,4528.37927793009
40,5949.650904744366
45,7488.713757555581
50,9338.727709709116
55,11287.761320582435
60,13441.16936238379
65,15764.615117411538
70,18222.60635703552
75,20957.154542967706
80,23952.09102785966
85,26944.775980662853
90,30297.058062706696
95,33846.439479784305
100,37419.724017317276
