K,disorder_f,mean_rank_norm,std_rank_norm
5,0.0,0.9583333333333334,0.09316949906249122
10,0.0,0.9407407407407408,0.06869347033700522
15,0.0,0.9309523809523809,0.06249716546860329
20,0.0,0.9421052631578947,0.034244247887619525
25,0.0,0.9472222222222221,0.0262055031446017
30,0.0,0.945977011494253,0.03293459490090669
35,0.0,0.9421568627450979,0.02788522088887822
40,0.0,0.9418803418803419,0.02189102303395843
45,0.0,0.9431818181818182,0.020115027344472382
50,0.0,0.9435374149659863,0.01801115958486219
55,0.0,0.9487654320987654,0.02226504789737213
60,0.0,0.9446327683615817,0.020022649883242205
65,0.0,0.9479166666666666,0.014731391274719742
70,0.0,0.9526570048309179,0.01118438348095675
75,0.0,0.9536036036036037,0.013817893378538712
80,0.0,0.9552742616033758,0.01336960296856951
85,0.0,0.9492063492063492,0.014063527894182026
90,0.0,0.9516853932584267,0.012695469106126086
95,0.0,0.9556737588652484,0.011680616377305391
100,0.0,0.953198653198653,0.010588676897990822
5,0.1,0.9583333333333334,0.09316949906249122
10,0.1,0.9444444444444445,0.06252571487457087
15,0.1,0.9452380952380951,0.04767853427262092
20,0.1,0.9315789473684207,0.033700653881225506
25,0.1,0.9347222222222223,0.03347769664776099
30,0.1,0.9448275862068966,0.0328341536944499
35,0.1,0.9343137254901959,0.03101821964618898
40,0.1,0.9435897435897436,0.024234951929500526
45,0.1,0.9500000000000001,0.025171587463388132
50,0.1,0.951020408163265,0.01794681082758218
55,0.1,0.9530864197530863,0.017719382832601625
60,0.1,0.9468926553672316,0.01790167177147443
65,0.1,0.9484375,0.016212898350284773
70,0.1,0.955072463768116,0.017290367312244717
75,0.1,0.9495495495495496,0.015964004636639054
80,0.1,0.9548523206751056,0.011171478729851254
85,0.1,0.9507936507936507,0.014655702629063008
90,0.1,0.9505617977528089,0.012843766441559741
95,0.1,0.9567375886524824,0.010614630884465084
100,0.1,0.9555555555555553,0.014189432663774726
5,0.2,0.9416666666666667,0.13969212178533508
10,0.2,0.9444444444444444,0.06879324304076562
15,0.2,0.9452380952380952,0.051121215603771177
20,0.2,0.9456140350877191,0.0346018998654667
25,0.2,0.9499999999999998,0.03469443332443556
30,0.2,0.9494252873563215,0.02310316234740437
35,0.2,0.938235294117647,0.0232210182006412
40,0.2,0.9521367521367521,0.01956499682437536
45,0.2,0.95,0.020663911662099806
50,0.2,0.9408163265306123,0.01851790148138256
55,0.2,0.9462962962962961,0.02103299387333434
60,0.2,0.9463276836158193,0.019117428605297894
65,0.2,0.9489583333333333,0.020937240877335183
70,0.2,0.952657004830918,0.015846588856866406
75,0.2,0.9518018018018019,0.011926308373760117
80,0.2,0.9510548523206753,0.013369602968569504
85,0.2,0.9519841269841268,0.019068275836085644
90,0.2,0.9584269662921348,0.012014243395015318
95,0.2,0.9549645390070923,0.010525405730252376
100,0.2,0.9579124579124577,0.014540621469150963
5,0.35,0.9333333333333333,0.11055415967851333
10,0.35,0.9222222222222223,0.07671227843410364
15,0.35,0.9309523809523808,0.05371673415561182
20,0.35,0.931578947368421,0.036337395047733284
25,0.35,0.9361111111111111,0.0352460487234709
30,0.35,0.9390804597701148,0.03525945206937466
35,0.35,0.9431372549019608,0.021389631597324935
40,0.35,0.9512820512820512,0.027576522743421653
45,0.35,0.9484848484848485,0.026199418887561516
50,0.35,0.9557823129251698,0.01905976289268284
55,0.35,0.9499999999999997,0.019801253002895598
60,0.35,0.9497175141242938,0.021653975024561373
65,0.35,0.9479166666666666,0.014168198446599424
70,0.35,0.9492753623188406,0.016629869060926106
75,0.35,0.9572072072072071,0.01355099905990211
80,0.35,0.9506329113924055,0.016127860635963207
85,0.35,0.9547619047619045,0.013538668340660299
90,0.35,0.9513108614232207,0.011724701005616883
95,0.35,0.9549645390070923,0.014188829094852886
100,0.35,0.956228956228956,0.010858259593668072
