K,F_framework_mean_sigma_self_eq_sigma_phi,F_framework_std_sigma_self_eq_sigma_phi,F_no_comp_mean,F_no_comp_std
5,0.9997669439036431,0.00022928682273776072,0.864455917794825,0.27824375660124634
10,0.9996734378430442,0.0001332743811551865,0.5333419733199841,0.26274155027564516
15,0.9996953194767606,0.00017000324527360563,0.3326779774913254,0.2530354403454234
20,0.9996660020809274,0.0001698029113633396,0.14612052325184458,0.17345648181005544
25,0.9996632663902277,0.00013982776939793707,0.0909627131481927,0.08077020984335938
30,0.9997352135273332,9.583308769706107e-05,0.016264213794247608,0.02045059281753545
35,0.9997060195115766,0.00011379943709535207,0.019786657678912977,0.03177179737294826
40,0.9997078805166167,9.116338531550423e-05,0.024118991398584616,0.05468699567188901
45,0.9996795942177508,0.0001276896872429233,0.012017391496077468,0.013938107590263342
50,0.999639855573069,0.00010960156846863342,0.0022795210656571074,0.0019244598969205262
55,0.9996806404576856,7.604824409868686e-05,0.001836048577887595,0.0029900600897092584
60,0.9996779288450205,7.687032077994684e-05,0.001412367476631098,0.0019565254711187956
65,0.999653537770546,8.144920833195809e-05,0.0013816551990039182,0.0032065020854645074
70,0.9996652989645208,9.912428854002146e-05,0.0006623452479304872,0.0011847305926351226
75,0.9996290195554701,0.00010702659037302979,0.0005678700668563663,0.0010631643169472843
80,0.9996209726533692,0.00011757371239956769,0.00023478901120667665,0.00047949111405795223
