K,m,F_mean,F_std,n_exp
5,K,0.9999073002532043,6.311145825039019e-05,15
5,8,0.9998964921995518,0.00012800166643478532,15
5,4,0.9999380283077172,7.162190278452752e-05,15
10,K,0.9999179944097126,9.515741569308649e-05,30
10,8,0.9998737682393888,0.00010191756201230431,30
10,4,0.9997710315841172,0.00012514973965661378,30
15,K,0.9999088607457447,4.553913449221578e-05,45
15,8,0.9998373868385904,8.465337963162514e-05,45
15,4,0.9996053481995439,0.0002671561667490641,45
20,K,0.9999183111261065,2.2920224536935283e-05,60
20,8,0.9997899572399508,7.400392177377756e-05,60
20,4,0.999436073774632,0.00020754437980844844,60
25,K,0.9999083285319131,3.7649977711891664e-05,75
25,8,0.9997237669666609,0.00013008836425576915,75
25,4,0.9993683037532205,0.0004007135735181428,75
30,K,0.9999199392854858,1.5879605023142038e-05,90
30,8,0.9996807083084919,0.0001099102260581912,90
30,4,0.999080488134366,0.0004861574297654389,90
35,K,0.9998962014769651,4.3259758440739195e-05,105
35,8,0.9995298307704729,0.00017160460015184413,105
35,4,0.9991429296519828,0.000271121834119796,105
40,K,0.9999146920616692,1.9551419430815644e-05,120
40,8,0.9995170634463721,0.00016261337806617804,120
40,4,0.99897670564425,0.0003490773661206586,120
45,K,0.9999096977482158,3.427634353474926e-05,135
45,8,0.9994841311226992,0.0001192088788839683,135
45,4,0.9987866975871434,0.0004717213406754924,135
50,K,0.9999208778849588,1.8901986610783906e-05,150
50,8,0.9994229848290986,0.00016132685621939862,150
50,4,0.9984268490635735,0.00038975699522615393,150
55,K,0.9999203924811315,1.9770681622581178e-05,165
55,8,0.9993399252187377,0.0001549286171641191,165
55,4,0.9984806490673391,0.0004669412617425917,165
60,K,0.9999230215729383,2.0286171324644506e-05,180
60,8,0.999182755815566,0.00020738165373472556,180
60,4,0.9984006257539868,0.0005239941547723857,180
65,K,0.9999214346731841,1.842055982061126e-05,195
65,8,0.9992462923350375,0.00019454734739550122,195
65,4,0.9982690846890124,0.00039260725559549025,195
70,K,0.999922956096283,1.8475684945325953e-05,210
70,8,0.9992128091247632,0.0001908539610559761,210
70,4,0.998203962043909,0.0005807643747820997,210
75,K,0.9999167727340645,1.7160562127700367e-05,225
75,8,0.999161027700651,0.0001811018601368501,225
75,4,0.997945035293415,0.0007454494887362994,225
80,K,0.9999228671040127,1.888390339003706e-05,240
80,8,0.9990568166731175,0.00014975539683401815,240
80,4,0.9977875714020058,0.0007033367866780489,240
