K,m,n_exp_min,n_exp_min_over_K,calibration_time_s,within_tau_drift
5,K,6,1.2,48.0,1
5,8,8,1.6,64.0,1
5,4,8,1.6,64.0,1
10,K,15,1.5,120.0,1
10,8,12,1.2,96.0,1
10,4,18,1.8,144.0,1
15,K,19,1.2666666666666666,152.0,1
15,8,22,1.4666666666666666,176.0,1
15,4,30,2.0,240.0,1
20,K,25,1.25,200.0,1
20,8,30,1.5,240.0,1
20,4,45,2.25,360.0,1
25,K,31,1.24,248.0,1
25,8,38,1.52,304.0,1
25,4,69,2.76,552.0,1
30,K,38,1.2666666666666666,304.0,1
30,8,52,1.7333333333333334,416.0,1
30,4,90,3.0,720.0,1
35,K,44,1.2571428571428571,352.0,1
35,8,70,2.0,560.0,1
35,4,105,3.0,840.0,1
40,K,50,1.25,400.0,1
40,8,80,2.0,640.0,1
40,4,130,3.25,1040.0,1
45,K,56,1.2444444444444445,448.0,1
45,8,101,2.2444444444444445,808.0,1
45,4,146,3.2444444444444445,1168.0,1
50,K,62,1.24,496.0,1
50,8,112,2.24,896.0,1
50,4,188,3.76,1504.0,1
55,K,69,1.2545454545454546,552.0,1
55,8,138,2.5090909090909093,1104.0,1
55,4,192,3.4909090909090907,1536.0,1
60,K,75,1.25,600.0,1
60,8,150,2.5,1200.0,1
60,4,270,4.5,2160.0,1
65,K,81,1.2461538461538462,648.0,1
65,8,162,2.4923076923076923,1296.0,1
65,4,260,4.0,2080.0,1
70,K,88,1.2571428571428571,704.0,1
70,8,192,2.742857142857143,1536.0,1
70,4,315,4.5,2520.0,1
75,K,94,1.2533333333333334,752.0,1
75,8,225,3.0,1800.0,1
75,4,338,4.506666666666667,2704.0,1
80,K,100,1.25,800.0,1
80,8,240,3.0,1920.0,1
80,4,400,5.0,3200.0,1
